@relation TrainingsetAROUSALeVALENZA

@attribute Gender {m,f}
@attribute PitchMin numeric
@attribute PitchMed numeric
@attribute PitchMax numeric
@attribute PitchMinMaxDiffLog numeric
@attribute PitchMinLog numeric
@attribute PitchMedLog numeric
@attribute PitchMaxLog numeric
@attribute PitchDevSta numeric
@attribute PitchSlope numeric
@attribute EnergyMin numeric
@attribute EnergyMed numeric
@attribute EnergyMax numeric
@attribute EnergyMinMaxDiff numeric
@attribute EnergyDevSta numeric
@attribute SpectrumCentralMoment numeric
@attribute SpectrumDevSta numeric
@attribute SpectrumGravityCentre numeric
@attribute SpectrumKurtosis numeric
@attribute SpectrumSkewness numeric
@attribute HarmonicityDevSta numeric
@attribute HarmonicityMax numeric
@attribute HarmonicityMed numeric
@attribute HarmonicityMin numeric
@attribute Arousal {High,Medium,Low}
@attribute Valenza {VeryNeg,Neutral,Positive,Negative}

@data
m,92.15915,127.15699,274.99525,182.83157,92.16367,125.16571,274.99525,24.42084,246.33031,37.72727,57.45799,74.06572,36.33845,10.65213,1064576883.95382,593.84963,664.98533,52.43758,5.08332,4.70184,31.67879,8.46017,-226.60544,Medium,Neutral
m,138.80164,186.31214,237.94189,99.13942,138.80251,184.12211,237.94193,28.67071,198.6494,37.44203,61.0646,77.58034,40.138306,13.07492,2723588462.58345,791.11227,655.6334,38.36158,5.50082,4.71087,36.01333,13.35534,-226.45516,High,Positive
m,95.99209,115.64354,144.13481,48.142723,95.99209,115.13645,144.13481,10.95424,98.52426,37.31186,58.37442,73.16668,35.85482,10.83132,791010334.51221,480.50029,486.47051,106.00363,7.13019,5.89677,40.82478,12.98694,-226.08958,Low,Negative
m,87.80901,139.37297,197.76957,109.96056,87.80901,136.91381,197.76957,26.08404,303.36646,37.62181,57.45341,81.8951,44.273293,14.35247,3251086951.61755,849.24304,778.94946,40.9823,5.30802,4.89207,23.66772,5.31371,-226.34413,High,VeryNeg
m,90.75494,115.04895,153.78844,63.033386,90.75505,114.10317,153.78844,15.09056,156.0438,37.69411,54.39312,72.60047,34.90636,11.60475,2935673257.59163,828.10701,641.32731,38.75616,5.1695,4.4808,31.16757,8.50001,-225.98732,Medium,Neutral
m,140.50783,191.80079,247.95671,107.44672,140.51124,189.71988,247.95796,28.44314,242.97015,37.68167,58.76707,75.30006,37.618385,12.50318,3823085904.2399,864.34455,589.24253,48.32752,5.92043,4.86271,23.3567,13.17874,-226.75024,High,Positive
m,97.50014,129.68877,590.04365,492.54315,97.50047,122.02734,590.04365,74.04405,435.38586,37.47784,56.07688,68.33021,30.852367,10.55652,1609285393.78957,602.34574,453.15686,87.8228,7.36369,5.32156,37.7807,14.1853,-226.45854,Low,Negative
m,82.89338,172.60503,211.97311,129.07977,82.89338,170.30719,211.97316,24.94822,287.01783,36.87488,62.85468,83.86829,46.993412,14.94232,1400366174.18815,788.42281,901.92349,15.1882,2.85735,4.20278,35.63034,6.19712,-226.59735,High,VeryNeg
m,82.20391,116.24586,167.0862,84.88226,82.20404,114.09584,167.08631,22.94738,181.91165,36.97908,56.99554,76.15105,39.171967,10.7225,2037448568.11889,731.81445,641.84016,43.40131,5.19857,4.32872,38.87214,7.38049,-226.32758,Medium,Neutral
m,140.37665,191.64466,260.18753,119.80945,140.37815,189.35502,260.18759,29.7663,248.69588,37.70717,60.69777,77.39613,39.688965,13.25992,2539974190.99954,789.61103,690.51245,35.53257,5.15929,4.3608,23.3451,11.4991,-226.47994,High,Positive
m,97.21825,118.64732,138.44489,41.226074,97.22037,118.25199,138.44644,9.61684,90.65202,35.51632,59.79808,72.38443,36.86811,11.15665,1111094849.78704,550.82751,479.76897,75.62576,6.6482,6.36117,33.94941,13.35258,-226794,Low,Negative
m,83.97396,162.14511,233.84041,149.86801,83.97396,156.64273,233.84196,42.39138,246.53201,36.98077,64797,86.51791,49.537136,13.59649,1920621339.77968,824.74536,911.08484,21.40948,3.42359,3.56535,29.17179,6.97111,-226.61096,High,VeryNeg
m,87.20918,139.53519,563.55862,476.34937,87.20922,133.73974,563.55862,51.24679,334.94081,36.94587,56.34339,70.32716,33.381294,10.47118,2415637842.86391,735.36023,594.64967,57.9337,6.07479,4.55513,34.69229,9.37035,-226.14631,Medium,Neutral
m,131.74497,186.17604,248.91613,117.171265,131.74497,183.26967,248.91623,33.3401,206.67856,37.27666,63.5521,79.56711,42.290447,11.56096,2111089374.00619,739.25819,674.26221,40.10399,5.22538,4.90774,37.64032,12.96382,-226.63485,High,Positive
m,89.11029,112.10902,134.28282,45.17253,89.11029,111.65738,134.28282,10.09682,70.53504,38.23682,57.74357,70.6201,32.38328,9.77226,1645891890.85264,596.41935,481.08268,100.91981,7.75794,4.92102,29.64813,13.96914,-226.17549,Low,Negative
m,101.99014,165.02083,232.60887,130.61906,101.99014,162.55029,232.6092,28.86886,245.7265,37.03019,65.63061,86.16985,49.139664,13.62865,1679213638.68226,783.75288,803.54018,24.32519,3.48794,4.32793,30.07715,8.29495,-225.74577,High,VeryNeg
m,80.43854,113.34929,176.82232,96.38728,80.43878,111.74891,176.82606,19.99979,165.9946,35.61326,59.27352,75.66138,40.04812,10.32923,2982598617.34629,805.94227,598.71469,47.74259,5.69748,5.43228,53.77571,8.32263,-228.25753,Medium,Neutral
m,133.14221,172.48243,239.65137,106.5105,133.14252,169.94066,239.65301,30.38962,200.36884,36.13736,62.8938,79.11463,42.977272,13.16894,2564321435.26305,782.88686,676.82235,41.21325,5.34411,5.15149,35.21486,11.80055,-226.0275,High,Positive
m,91.96849,112.39917,597.95842,505.98993,91.96849,111.0417,597.95842,27.71573,324.35186,37.46385,59.31581,73.94628,36.482433,10.42339,1434785022.58407,609.37144,551.88068,68.57034,6.34075,5.67328,34.68862,12.45108,-226.74175,Low,Negative
